CustomerID,Recency,Monetary,Frequency,Recency_Score,Frequency_Score,Monetary_Score,RFM_Score,CustomerID
12452.0,17,42.52,19,High,Low,Low,"High, Low, Low",12452
12453.0,134,102.91,43,Low,High,High,"Low, High, High",12453
12454.0,56,4.15,1,Low,Low,Low,"Low, Low, Low",12454
12455.0,73,131.94,66,Low,High,High,"Low, High, High",12455
12456.0,44,195.56,99,High,High,High,"High, High, High",12456
12457.0,86,117.21000000000001,48,Low,High,High,"Low, High, High",12457
12458.0,71,63.89,31,Low,Low,Low,"Low, Low, Low",12458
12461.0,155,68.76,29,Low,Low,Low,"Low, Low, Low",12461
12462.0,19,95.07000000000001,44,High,High,High,"High, High, High",12462
12463.0,53,145.16,76,Low,High,High,"Low, High, High",12463
12464.0,150,10.2,4,Low,Low,Low,"Low, Low, Low",12464
12465.0,17,88.92,43,High,High,High,"High, High, High",12465
12468.0,188,74.22,33,Low,Low,Low,"Low, Low, Low",12468
12471.0,2,787.71,360,High,High,High,"High, High, High",12471
12472.0,32,514.6,308,High,High,High,"High, High, High",12472
12473.0,54,230.0,144,Low,High,High,"Low, High, High",12473
12474.0,17,690.53,382,High,High,High,"High, High, High",12474
12475.0,54,78.62,31,Low,Low,Low,"Low, Low, Low",12475
12476.0,16,420.07,165,High,High,High,"High, High, High",12476
12477.0,23,740.61,224,High,High,High,"High, High, High",12477
12478.0,4,93.66,32,High,Low,High,"High, Low, High",12478
12479.0,11,46.28,28,High,Low,Low,"High, Low, Low",12479
12480.0,28,312.77,136,High,High,High,"High, High, High",12480
12481.0,23,335.33,172,High,High,High,"High, High, High",12481
12483.0,17,143.28,61,High,High,High,"High, High, High",12483
12484.0,35,741.82,315,High,High,High,"High, High, High",12484
12488.0,10,120.06,47,High,High,High,"High, High, High",12488
12489.0,336,26.82,10,Low,Low,Low,"Low, Low, Low",12489
12490.0,5,416.32,222,High,High,High,"High, High, High",12490
12491.0,39,60.2,23,High,Low,Low,"High, Low, Low",12491
12492.0,63,30.95,18,Low,Low,Low,"Low, Low, Low",12492
12493.0,166,41.019999999999996,18,Low,Low,Low,"Low, Low, Low",12493
12494.0,16,127.69,65,High,High,High,"High, High, High",12494
12497.0,82,0.85,1,Low,Low,Low,"Low, Low, Low",12497
12498.0,21,60.55,21,High,Low,Low,"High, Low, Low",12498
12500.0,50,82.99,25,High,Low,High,"High, Low, High",12500
12501.0,337,267.68,138,Low,High,High,"Low, High, High",12501
12502.0,96,296.96,91,Low,High,High,"Low, High, High",12502
12504.0,30,2.5,2,High,Low,Low,"High, Low, Low",12504
12506.0,233,57.6,21,Low,Low,Low,"Low, Low, Low",12506
12507.0,134,28.3,13,Low,Low,Low,"Low, Low, Low",12507
12508.0,26,118.71000000000001,69,High,High,High,"High, High, High",12508
12509.0,284,12.450000000000001,5,Low,Low,Low,"Low, Low, Low",12509
12510.0,143,73.35,29,Low,Low,Low,"Low, Low, Low",12510
12512.0,66,79.75,33,Low,Low,Low,"Low, Low, Low",12512
12513.0,113,45.57,33,Low,Low,Low,"Low, Low, Low",12513
12514.0,267,96.89,44,Low,High,High,"Low, High, High",12514
12515.0,353,29.55,11,Low,Low,Low,"Low, Low, Low",12515
12516.0,78,15.64,11,Low,Low,Low,"Low, Low, Low",12516
12517.0,28,522.68,270,High,High,High,"High, High, High",12517
12518.0,1,216.41,114,High,High,High,"High, High, High",12518
12519.0,64,27.34,16,Low,Low,Low,"Low, Low, Low",12519
12520.0,79,285.39,136,Low,High,High,"Low, High, High",12520
12521.0,143,65.04,34,Low,Low,Low,"Low, Low, Low",12521
12522.0,39,23.97,9,High,Low,Low,"High, Low, Low",12522
12523.0,19,204.24,79,High,High,High,"High, High, High",12523
12524.0,9,169.06,93,High,High,High,"High, High, High",12524
12526.0,1,135.02,63,High,High,High,"High, High, High",12526
12527.0,82,26.23,16,Low,Low,Low,"Low, Low, Low",12527
12528.0,9,141.49,62,High,High,High,"High, High, High",12528
12530.0,60,117.38000000000001,52,Low,High,High,"Low, High, High",12530
12531.0,15,34.81,16,High,Low,Low,"High, Low, Low",12531
12532.0,30,32.92,14,High,Low,Low,"High, Low, Low",12532
12534.0,131,97.48,55,Low,High,High,"Low, High, High",12534
12535.0,92,100.0,28,Low,Low,High,"Low, Low, High",12535
12536.0,59,487.22,230,Low,High,High,"Low, High, High",12536
12538.0,29,33.86,16,High,Low,Low,"High, Low, Low",12538
12539.0,22,674.89,233,High,High,High,"High, High, High",12539
12540.0,20,744.96,383,High,High,High,"High, High, High",12540
12541.0,30,74.47,45,High,High,Low,"High, High, Low",12541
12544.0,36,42.07,17,High,Low,Low,"High, Low, Low",12544
12545.0,75,78.65,40,Low,High,Low,"Low, High, Low",12545
12546.0,47,144.43,64,High,High,High,"High, High, High",12546
12547.0,198,7.6,6,Low,Low,Low,"Low, Low, Low",12547
12548.0,166,5.6,4,Low,Low,Low,"Low, Low, Low",12548
12550.0,79,113.45,52,Low,High,High,"Low, High, High",12550
12551.0,358,16.8,10,Low,Low,Low,"Low, Low, Low",12551
12552.0,40,31.46,9,High,Low,Low,"High, Low, Low",12552
12553.0,8,382.07,170,High,High,High,"High, High, High",12553
12556.0,50,244.19,113,High,High,High,"High, High, High",12556
12558.0,8,11.67,10,High,Low,Low,"High, Low, Low",12558
12559.0,320,30.23,16,Low,Low,Low,"Low, Low, Low",12559
12560.0,5,205.26,96,High,High,High,"High, High, High",12560
12561.0,303,31.53,14,Low,Low,Low,"Low, Low, Low",12561
12562.0,8,312.15,149,High,High,High,"High, High, High",12562
12564.0,261,57.25,17,Low,Low,Low,"Low, Low, Low",12564
12565.0,289,21.16,9,Low,Low,Low,"Low, Low, Low",12565
12566.0,86,27.380000000000003,14,Low,Low,Low,"Low, Low, Low",12566
12567.0,23,884.09,384,High,High,High,"High, High, High",12567
12569.0,2,309.34000000000003,137,High,High,High,"High, High, High",12569
12571.0,40,44.06,32,High,Low,Low,"High, Low, Low",12571
12572.0,9,130.67,49,High,High,High,"High, High, High",12572
12573.0,227,48.75,27,Low,Low,Low,"Low, Low, Low",12573
12574.0,316,29.25,9,Low,Low,Low,"Low, Low, Low",12574
12576.0,36,139.41,83,High,High,High,"High, High, High",12576
12577.0,35,218.32,142,High,High,High,"High, High, High",12577
12578.0,21,251.70000000000002,106,High,High,High,"High, High, High",12578
12579.0,78,37.42,24,Low,Low,Low,"Low, Low, Low",12579
12580.0,247,44.58,23,Low,Low,Low,"Low, Low, Low",12580
12581.0,40,15.44,13,High,Low,Low,"High, Low, Low",12581
12582.0,239,34.32,18,Low,Low,Low,"Low, Low, Low",12582
12583.0,3,401.97,203,High,High,High,"High, High, High",12583
12584.0,4,199.0,48,High,High,High,"High, High, High",12584
12585.0,234,144.76,72,Low,High,High,"Low, High, High",12585
12586.0,17,35.7,10,High,Low,Low,"High, Low, Low",12586
12587.0,8,6.24,3,High,Low,Low,"High, Low, Low",12587
12588.0,39,13.65,5,High,Low,Low,"High, Low, Low",12588
12589.0,29,42.9,26,High,Low,Low,"High, Low, Low",12589
12590.0,211,49.49,12,Low,Low,Low,"Low, Low, Low",12590
12591.0,317,42.45,22,Low,Low,Low,"Low, Low, Low",12591
12592.0,92,21.9,14,Low,Low,Low,"Low, Low, Low",12592
12593.0,109,37.699999999999996,20,Low,Low,Low,"Low, Low, Low",12593
12594.0,47,234.81,104,High,High,High,"High, High, High",12594
12596.0,51,34.86,18,High,Low,Low,"High, Low, Low",12596
12597.0,19,367.33,165,High,High,High,"High, High, High",12597
12598.0,10,202.87,105,High,High,High,"High, High, High",12598
12599.0,29,57.02,52,High,High,Low,"High, High, Low",12599
12600.0,29,163.03,51,High,High,High,"High, High, High",12600
12601.0,190,50.26,21,Low,Low,Low,"Low, Low, Low",12601
12602.0,59,11.700000000000001,11,Low,Low,Low,"Low, Low, Low",12602
12603.0,22,0.0,1,High,Low,Low,"High, Low, Low",12603
12604.0,79,23.46,15,Low,Low,Low,"Low, Low, Low",12604
12607.0,60,175.88,96,Low,High,High,"Low, High, High",12607
12609.0,78,115.64,50,Low,High,High,"Low, High, High",12609
12610.0,23,175.02,85,High,High,High,"High, High, High",12610
12611.0,52,127.76,59,Low,High,High,"Low, High, High",12611
12612.0,74,65.95,17,Low,Low,Low,"Low, Low, Low",12612
12613.0,57,340.64,143,Low,High,High,"Low, High, High",12613
12614.0,278,58.5,14,Low,Low,Low,"Low, Low, Low",12614
12615.0,2,178.22,86,High,High,High,"High, High, High",12615
12616.0,95,42.5,25,Low,Low,Low,"Low, Low, Low",12616
12617.0,29,60.03,40,High,High,Low,"High, High, Low",12617
12618.0,22,25.07,9,High,Low,Low,"High, Low, Low",12618
12619.0,16,51.98,46,High,High,Low,"High, High, Low",12619
12620.0,15,145.85,80,High,High,High,"High, High, High",12620
12621.0,2,754.83,389,High,High,High,"High, High, High",12621
12622.0,232,19.63,8,Low,Low,Low,"Low, Low, Low",12622
12623.0,276,29.32,17,Low,Low,Low,"Low, Low, Low",12623
12624.0,106,66.59,31,Low,Low,Low,"Low, Low, Low",12624
12625.0,212,107.04,74,Low,High,High,"Low, High, High",12625
12626.0,23,515.36,265,High,High,High,"High, High, High",12626
12627.0,11,412.14,202,High,High,High,"High, High, High",12627
12628.0,4,83.49000000000001,36,High,Low,High,"High, Low, High",12628
12630.0,10,129.38,55,High,High,High,"High, High, High",12630
12631.0,57,58.400000000000006,25,Low,Low,Low,"Low, Low, Low",12631
12633.0,59,201.36,88,Low,High,High,"Low, High, High",12633
12635.0,90,153.96,90,Low,High,High,"Low, High, High",12635
12637.0,67,748.93,359,Low,High,High,"Low, High, High",12637
12638.0,33,59.42,37,High,High,Low,"High, High, Low",12638
12639.0,239,35.35,18,Low,Low,Low,"Low, Low, Low",12639
12640.0,24,106.6,36,High,Low,High,"High, Low, High",12640
12641.0,115,21.15,8,Low,Low,Low,"Low, Low, Low",12641
12642.0,25,77.02,39,High,High,Low,"High, High, Low",12642
12643.0,221,3.9699999999999998,3,Low,Low,Low,"Low, Low, Low",12643
12644.0,130,56.800000000000004,27,Low,Low,Low,"Low, Low, Low",12644
12645.0,34,112.36,64,High,High,High,"High, High, High",12645
12646.0,5,75.49000000000001,34,High,Low,Low,"High, Low, Low",12646
12647.0,22,242.25,87,High,High,High,"High, High, High",12647
12648.0,155,39.67,19,Low,Low,Low,"Low, Low, Low",12648
12649.0,107,46.32,23,Low,Low,Low,"Low, Low, Low",12649
12650.0,3,20.69,19,High,Low,Low,"High, Low, Low",12650
12651.0,335,20.200000000000003,9,Low,Low,Low,"Low, Low, Low",12651
12652.0,331,90.22,44,Low,High,High,"Low, High, High",12652
12653.0,149,51.88,30,Low,Low,Low,"Low, Low, Low",12653
12654.0,11,74.28,32,High,Low,Low,"High, Low, Low",12654
12656.0,17,231.69,86,High,High,High,"High, High, High",12656
12657.0,11,74.98,29,High,Low,Low,"High, Low, Low",12657
12658.0,19,75.42,29,High,Low,Low,"High, Low, Low",12658
12659.0,30,8.15,3,High,Low,Low,"High, Low, Low",12659
12660.0,11,31.6,11,High,Low,Low,"High, Low, Low",12660
12662.0,1,445.28000000000003,208,High,High,High,"High, High, High",12662
12664.0,59,24.6,10,Low,Low,Low,"Low, Low, Low",12664
12665.0,325,2.5,2,Low,Low,Low,"Low, Low, Low",12665
12667.0,58,54.65,29,Low,Low,Low,"Low, Low, Low",12667
12668.0,12,344.48,138,High,High,High,"High, High, High",12668
12669.0,151,156.77,91,Low,High,High,"Low, High, High",12669
12670.0,10,165.49,76,High,High,High,"High, High, High",12670
12672.0,330,22.0,8,Low,Low,Low,"Low, Low, Low",12672
12673.0,5,72.98,36,High,Low,Low,"High, Low, Low",12673
12674.0,39,137.1,67,High,High,High,"High, High, High",12674
12676.0,25,75.02,38,High,High,Low,"High, High, Low",12676
12678.0,43,90.08,41,High,High,High,"High, High, High",12678
12679.0,284,89.62,38,Low,High,High,"Low, High, High",12679
12680.0,1,114.88,46,High,High,High,"High, High, High",12680
12681.0,15,1049.2,529,High,High,High,"High, High, High",12681
12682.0,4,1039.32,441,High,High,High,"High, High, High",12682
12683.0,4,487.72,292,High,High,High,"High, High, High",12683
12684.0,8,127.37,89,High,High,High,"High, High, High",12684
12685.0,28,329.37,145,High,High,High,"High, High, High",12685
12686.0,372,4.81,6,Low,Low,Low,"Low, Low, Low",12686
12688.0,114,271.1,129,Low,High,High,"Low, High, High",12688
12689.0,26,129.54,66,High,High,High,"High, High, High",12689
12690.0,206,47.980000000000004,13,Low,Low,Low,"Low, Low, Low",12690
12691.0,58,59.9,24,Low,Low,Low,"Low, Low, Low",12691
12693.0,127,79.17,28,Low,Low,Low,"Low, Low, Low",12693
12694.0,70,40.86,27,Low,Low,Low,"Low, Low, Low",12694
12695.0,7,56.42,17,High,Low,Low,"High, Low, Low",12695
12697.0,29,84.09,36,High,Low,High,"High, Low, High",12697
12700.0,8,459.36,239,High,High,High,"High, High, High",12700
12701.0,80,77.8,46,Low,High,Low,"Low, High, Low",12701
12702.0,20,47.3,11,High,Low,Low,"High, Low, Low",12702
12703.0,71,37.4,20,Low,Low,Low,"Low, Low, Low",12703
12704.0,7,154.29,65,High,High,High,"High, High, High",12704
12705.0,15,563.99,287,High,High,High,"High, High, High",12705
12707.0,292,64.86,29,Low,Low,Low,"Low, Low, Low",12707
12708.0,30,278.73,128,High,High,High,"High, High, High",12708
12709.0,15,324.4,144,High,High,High,"High, High, High",12709
12710.0,97,118.02,69,Low,High,High,"Low, High, High",12710
12712.0,29,325.98,88,High,High,High,"High, High, High",12712
12713.0,1,65.18,36,High,Low,Low,"High, Low, Low",12713
12714.0,9,381.31,234,High,High,High,"High, High, High",12714
12715.0,106,31.44,20,Low,Low,Low,"Low, Low, Low",12715
12716.0,4,129.11,63,High,High,High,"High, High, High",12716
12717.0,151,108.4,51,Low,High,High,"Low, High, High",12717
12718.0,71,23.77,17,Low,Low,Low,"Low, Low, Low",12718
12719.0,5,75.2,34,High,Low,Low,"High, Low, Low",12719
12720.0,3,555.3,308,High,High,High,"High, High, High",12720
12721.0,32,244.34,139,High,High,High,"High, High, High",12721
12722.0,115,87.23,44,Low,High,High,"Low, High, High",12722
12723.0,4,140.72,62,High,High,High,"High, High, High",12723
12724.0,5,125.22,49,High,High,High,"High, High, High",12724
12725.0,371,70.5,23,Low,Low,Low,"Low, Low, Low",12725
12726.0,28,118.72,88,High,High,High,"High, High, High",12726
12727.0,11,222.28,115,High,High,High,"High, High, High",12727
12728.0,71,66.99,34,Low,Low,Low,"Low, Low, Low",12728
12729.0,114,50.09,22,Low,Low,Low,"Low, Low, Low",12729
12731.0,24,486.12,173,High,High,High,"High, High, High",12731
12732.0,180,23.020000000000003,10,Low,Low,Low,"Low, Low, Low",12732
12733.0,234,60.6,20,Low,Low,Low,"Low, Low, Low",12733
12734.0,353,4.74,4,Low,Low,Low,"Low, Low, Low",12734
12735.0,315,51.05,27,Low,Low,Low,"Low, Low, Low",12735
12736.0,333,3.9,2,Low,Low,Low,"Low, Low, Low",12736
12738.0,372,7.0,8,Low,Low,Low,"Low, Low, Low",12738
12739.0,99,56.18,31,Low,Low,Low,"Low, Low, Low",12739
12740.0,64,38.7,24,Low,Low,Low,"Low, Low, Low",12740
12744.0,56,440.17,151,Low,High,High,"Low, High, High",12744
12747.0,2,234.19,78,High,High,High,"High, High, High",12747
12748.0,1,8205.74,4219,High,High,High,"High, High, High",12748
12749.0,4,455.02,147,High,High,High,"High, High, High",12749
12750.0,129,23.85,10,Low,Low,Low,"Low, Low, Low",12750
12752.0,81,37.28,18,Low,Low,Low,"Low, Low, Low",12752
12753.0,23,94.53,25,High,Low,High,"High, Low, High",12753
12754.0,277,61.62,49,Low,High,Low,"Low, High, Low",12754
12755.0,281,7.6,2,Low,Low,Low,"Low, Low, Low",12755
12756.0,87,2.12,3,Low,Low,Low,"Low, Low, Low",12756
12757.0,16,631.71,344,High,High,High,"High, High, High",12757
12758.0,117,111.15,67,Low,High,High,"Low, High, High",12758
12759.0,52,175.77,85,Low,High,High,"Low, High, High",12759
12762.0,8,117.89,60,High,High,High,"High, High, High",12762
12763.0,369,28.99,16,Low,Low,Low,"Low, Low, Low",12763
12764.0,317,108.19,33,Low,Low,High,"Low, Low, High",12764
12766.0,4,660.39,278,High,High,High,"High, High, High",12766
12769.0,239,82.15,25,Low,Low,High,"Low, Low, High",12769
12772.0,60,76.74,45,Low,High,Low,"Low, High, Low",12772
12775.0,17,81.42,47,High,High,High,"High, High, High",12775
12778.0,20,35.68,35,High,Low,Low,"High, Low, Low",12778
12779.0,38,253.72,105,High,High,High,"High, High, High",12779
12781.0,64,33.91,18,Low,Low,Low,"Low, Low, Low",12781
12782.0,5,222.84,93,High,High,High,"High, High, High",12782
12783.0,2,158.32,62,High,High,High,"High, High, High",12783
12784.0,15,115.94,56,High,High,High,"High, High, High",12784
12785.0,364,22.65,12,Low,Low,Low,"Low, Low, Low",12785
12787.0,10,32.88,16,High,Low,Low,"High, Low, Low",12787
12790.0,192,30.12,16,Low,Low,Low,"Low, Low, Low",12790
12792.0,257,44.79,23,Low,Low,Low,"Low, Low, Low",12792
12793.0,335,36.19,21,Low,Low,Low,"Low, Low, Low",12793
12794.0,53,82.27,43,Low,High,High,"Low, High, High",12794
12795.0,19,27.830000000000002,8,High,Low,Low,"High, Low, Low",12795
12797.0,366,28.92,11,Low,Low,Low,"Low, Low, Low",12797
12802.0,187,48.0,24,Low,Low,Low,"Low, Low, Low",12802
12808.0,37,75.34,26,High,Low,Low,"High, Low, Low",12808
12809.0,178,51.28,21,Low,Low,Low,"Low, Low, Low",12809
12811.0,262,62.2,27,Low,Low,Low,"Low, Low, Low",12811
12812.0,45,31.03,15,High,Low,Low,"High, Low, Low",12812
12815.0,148,105.82000000000001,38,Low,High,High,"Low, High, High",12815
12816.0,96,54.55,17,Low,Low,Low,"Low, Low, Low",12816
12817.0,281,8.290000000000001,3,Low,Low,Low,"Low, Low, Low",12817
12818.0,262,19.75,7,Low,Low,Low,"Low, Low, Low",12818
12820.0,3,111.99000000000001,58,High,High,High,"High, High, High",12820
12821.0,214,6.49,5,Low,Low,Low,"Low, Low, Low",12821
12822.0,71,89.06,41,Low,High,High,"Low, High, High",12822
12824.0,60,38.94,22,Low,Low,Low,"Low, Low, Low",12824
12826.0,3,175.13,90,High,High,High,"High, High, High",12826
12827.0,6,71.7,25,High,Low,Low,"High, Low, Low",12827
12828.0,3,146.14000000000001,54,High,High,High,"High, High, High",12828
12829.0,337,10.5,2,Low,Low,Low,"Low, Low, Low",12829
12831.0,262,13.05,6,Low,Low,Low,"Low, Low, Low",12831
12832.0,32,70.83,26,High,Low,Low,"High, Low, Low",12832
12833.0,145,56.59,17,Low,Low,Low,"Low, Low, Low",12833
12834.0,283,32.44,11,Low,Low,Low,"Low, Low, Low",12834
12836.0,59,352.93,137,Low,High,High,"Low, High, High",12836
12837.0,173,26.85,7,Low,Low,Low,"Low, Low, Low",12837
12838.0,34,222.68,117,High,High,High,"High, High, High",12838
12839.0,3,504.3,295,High,High,High,"High, High, High",12839
12840.0,144,230.01,113,Low,High,High,"Low, High, High",12840
12841.0,5,755.78,388,High,High,High,"High, High, High",12841
12842.0,70,49.190000000000005,27,Low,Low,Low,"Low, Low, Low",12842
12843.0,160,247.52,89,Low,High,High,"Low, High, High",12843
12844.0,29,136.82,52,High,High,High,"High, High, High",12844
12845.0,269,54.79,23,Low,Low,Low,"Low, Low, Low",12845
12847.0,22,85.52,80,High,High,High,"High, High, High",12847
12849.0,31,105.47,43,High,High,High,"High, High, High",12849
12851.0,97,70.43,48,Low,High,Low,"Low, High, Low",12851
12852.0,295,38.35,15,Low,Low,Low,"Low, Low, Low",12852
12853.0,135,181.69,59,Low,High,High,"Low, High, High",12853
12854.0,79,231.07,101,Low,High,High,"Low, High, High",12854
12855.0,373,4.65,3,Low,Low,Low,"Low, Low, Low",12855
12856.0,8,663.28,300,High,High,High,"High, High, High",12856
12857.0,211,123.25,39,Low,High,High,"Low, High, High",12857
12863.0,52,7.65,3,Low,Low,Low,"Low, Low, Low",12863
12864.0,138,0.85,1,Low,Low,Low,"Low, Low, Low",12864
12865.0,26,191.3,86,High,High,High,"High, High, High",12865
12866.0,283,53.06,20,Low,Low,Low,"Low, Low, Low",12866
12867.0,26,693.1,523,High,High,High,"High, High, High",12867
12868.0,186,238.3,103,Low,High,High,"Low, High, High",12868
12871.0,84,10.47,8,Low,Low,Low,"Low, Low, Low",12871
12872.0,327,130.81,62,Low,High,High,"Low, High, High",12872
12876.0,58,100.78,62,Low,High,High,"Low, High, High",12876
12877.0,4,237.95000000000002,146,High,High,High,"High, High, High",12877
12878.0,236,87.58,46,Low,High,High,"Low, High, High",12878
12879.0,45,12.64,6,High,Low,Low,"High, Low, Low",12879
12881.0,276,18.8,4,Low,Low,Low,"Low, Low, Low",12881
12882.0,9,71.14,10,High,Low,Low,"High, Low, Low",12882
12883.0,25,127.58000000000001,31,High,Low,High,"High, Low, High",12883
12884.0,88,18.94,5,Low,Low,Low,"Low, Low, Low",12884
12885.0,63,123.21,60,Low,High,High,"Low, High, High",12885
12886.0,68,162.01,64,Low,High,High,"Low, High, High",12886
12888.0,214,8.88,3,Low,Low,Low,"Low, Low, Low",12888
12890.0,24,140.22,80,High,High,High,"High, High, High",12890
12893.0,31,75.17,34,High,Low,Low,"High, Low, Low",12893
12895.0,42,45.65,20,High,Low,Low,"High, Low, Low",12895
12897.0,205,7.9,2,Low,Low,Low,"Low, Low, Low",12897
12901.0,10,92.34,52,High,High,High,"High, High, High",12901
12902.0,265,13.79,7,Low,Low,Low,"Low, Low, Low",12902
12904.0,18,132.52,63,High,High,High,"High, High, High",12904
12906.0,12,92.78,40,High,High,High,"High, High, High",12906
12909.0,40,135.55,65,High,High,High,"High, High, High",12909
12910.0,23,137.33,59,High,High,High,"High, High, High",12910
12912.0,8,38.07,15,High,Low,Low,"High, Low, Low",12912
12913.0,5,91.15,31,High,Low,High,"High, Low, High",12913
12915.0,149,37.2,11,Low,Low,Low,"Low, Low, Low",12915
12916.0,139,255.94,84,Low,High,High,"Low, High, High",12916
12919.0,8,102.33,46,High,High,High,"High, High, High",12919
